Aanmoedigingen,Afbeelding - Encouragements
"Oh, het gaat nog niet zo lekker. Doe even een kort TikTokdansje en concentreer je 2x zo goed!",23
"LA en ik worden een beetje treurig: denk eerst even goed na, kom op!",02
"Hmm, alsof de bami koud is geworden. Denk goed na en probeer het nog eens!",05
"Niet “6,7” roepen; ik snap dat niet. Gewoon rekenen.",11
"Hee, niet zo wild op die knoppen drukken, je lijkt wel een octopus! (Eng!)",09
"Brrr, van dit foute antwoord krijg ik het helemaal koud.",10
"Hallo? Ik heb geen geduld hoor, probeer het nog eens!",04
Concentratie! Anders stuur ik LA op je af.,02
"Zeg geen ""6"" of ""7"" tegen me, daar snap ik niks van. Gewoon rekenen!",19
Aish! (Dat is Koreaans voor: frustrerend). Nog een keer.,22
"Je zit te gokken. Denk na, ik wil kwaliteit, geen rommel!",01
"Kom op, niet opgeven. Zelfs Ajax verliest wel eens een potje.",07
"Wakker worden! Je slaapt bijna, en ik hou van actie!",02
"Foutje. Maar goed, van fouten leer je (hoop ik).",03
"Stop. Adem in, adem uit. En nu het goede antwoord intoetsen.",08
Nee joh. Dit antwoord is nog kouder dan de Noordpool.,13
"Hé, niet 'skibidi' of 'sigma' roepen, ik snap dat niet. Gewoon rekenen!",11
"Stop de tijd! Je gaat te snel, net alsof je in een actiefilm zit.",18
Stop met wiebelen en start met denken. Ik zie rook uit je oren komen!,01
"Je zit te gokken! Ik wil een toptijd zien, geen gokwerk.",09
Niet doen alsof je neus bloedt. Gewoon opnieuw proberen!,08
Niet cooked raken: rustig blijven.,17
Skibidi in je hoofd uit. Focus aan.,19
"Sigma-modus: stil zitten, stap voor stap.",05
Aura farming stoppen. Gewoon eerlijk rekenen.,11
“6-7” hoef ik niet. Ik wil het juiste antwoord.,14
Rizz komt later. Eerst rekenen.,15
Skibidi-klik-klik helpt niet; rustig rekenen.,10
"Sigma-modus aan: stil zitten, rustig hoofd.",07
Zeg maar geen “6-7”; gewoon opnieuw proberen.,21
Geen geheugen-kwijt trope: lees de som nog eens.,12
"Doe een mini “slow motion”: langzaam, stap voor stap.",03
"Niet saai rekenen: maak het scherp, zoals Moluks eten.",18
"Munt-thee focus: rustig, helder, opnieuw.",07
"Als het klopt, doe ik in m’n hoofd een TikTok-dansje.",23
